"i","CR","MAE","corr.cor"
41,"5",1.71754183846718,0.78
41,"4&5",3.69296813833172,0.77
42,"4",4.68110677308753,0.8
42,"5",2.59980788429535,0.79
42,"4&5",3.80396761102692,0.75
43,"2",3.03110030902844,0.67
43,"3",2.52159051548749,0.8
43,"4",3.85317625976989,0.83
43,"5",1.51683243936942,0.78
43,"4&5",3.48724061356873,0.77
44,"3",2.42739239440689,0.81
44,"4",3.90556017239602,0.83
44,"5",2.29777614365789,0.79
44,"4&5",3.44397199085704,0.77
45,"4",4.650938558297,0.8
45,"5",2.3673061023385,0.78
45,"4&5",3.63561365056188,0.74
46,"2",2.65664087336702,0.66
46,"3",2.59325525820009,0.81
46,"4",3.90008181975291,0.86
46,"5",1.84418990169793,0.77
46,"4&5",3.36590465268235,0.78
47,"3",2.8435847905787,0.81
47,"4",4.15441882078533,0.85
47,"5",2.14803778873761,0.78
47,"4&5",3.40688063981537,0.77
48,"4",4.41942337341965,0.82
48,"5",2.40347268444258,0.77
48,"4&5",3.90378309585167,0.75
49,"2",2.69991104352037,0.68
49,"3",2.35815363060431,0.82
49,"4",4.47864114389138,0.83
49,"5",1.73443120226654,0.75
49,"4&5",3.78140235037739,0.77
50,"3",2.62799988607892,0.81
50,"4",4.15064854354802,0.83
50,"5",1.80221147125131,0.77
50,"4&5",3.54762043873613,0.76
51,"4",4.68866566609491,0.8
51,"5",2.34657416114098,0.79
51,"4&5",3.67190595456422,0.74
52,"2",2.60133239509109,0.69
52,"3",2.23033357575998,0.81
52,"4",4.32433148562538,0.84
52,"5",1.75919538805267,0.76
52,"4&5",3.5163565178424,0.77
53,"3",2.61400383252232,0.82
53,"4",4.25183431965102,0.82
53,"5",1.82130726495727,0.78
53,"4&5",3.71029251977012,0.76
54,"4",4.63805398682265,0.8
54,"5",2.43686154077871,0.78
54,"4&5",3.78395721925138,0.74
55,"2",2.74848507896855,0.66
55,"3",2.25746940664362,0.8
55,"4",3.96500270562768,0.85
55,"5",1.87173793285942,0.76
55,"4&5",3.63839076276749,0.78
56,"3",2.4451421316449,0.8
56,"4",3.9967214842447,0.85
56,"5",2.03924574811948,0.78
56,"4&5",3.36086269196022,0.78
57,"4",4.54475282584789,0.82
57,"5",2.40099505046686,0.76
57,"4&5",3.93342662286336,0.75
58,"2",2.88049842534085,0.68
58,"3",2.81510442766454,0.81
58,"4",3.9137539377613,0.83
58,"5",1.79025838848904,0.77
58,"4&5",3.50876089079165,0.77
59,"3",2.62163083114337,0.81
59,"4",4.06912986378356,0.83
59,"5",1.8347582196172,0.8
59,"4&5",3.49044855313571,0.77
60,"4",4.63262534064862,0.8
