"i","CR","MAE","corr.cor"
25,"4",3.81377915476084,0.88
25,"5",2.82386619865976,0.86
25,"4&5",3.50700384940566,0.82
26,"3",5.34527046817022,0.7
26,"4",4.13693806993976,0.91
26,"5",3.63818972860976,0.85
26,"4&5",3.96231636892036,0.84
27,"4",2.67753998390887,0.91
27,"5",2.78094801619044,0.81
27,"4&5",2.67753998390887,0.89
28,"2",4.66741934873677,0.27
28,"3",5.09455717518652,0.74
28,"4",5.11030529018621,0.84
28,"5",4.20691858317718,0.82
28,"4&5",4.44291460930222,0.72
29,"3",4.70393491782679,0.71
29,"4",5.25349792324976,0.77
29,"5",4.33587001611802,0.76
29,"4&5",4.72091869555847,0.65
30,"4",5.68223168169883,0.81
30,"5",4.20988960779758,0.69
30,"4&5",5.26396466564621,0.67
31,"2",4.25231038289421,0.28
31,"3",5.0619033137645,0.73
31,"4",4.29582387889624,0.82
31,"5",4.02741668222645,0.81
31,"4&5",4.05579933592798,0.71
32,"3",5.17306635760228,0.66
32,"4",5.21814040734937,0.8
32,"5",3.69762191403736,0.78
32,"4&5",4.6499276960353,0.69
33,"4",5.62145802454256,0.79
33,"5",4.59092209819887,0.68
33,"4&5",5.18795013728643,0.64
34,"2",4.07670456711744,0.29
34,"3",5.42158481178274,0.71
34,"4",4.39989144979423,0.8
34,"5",3.26193879397559,0.76
34,"4&5",4.070396582012,0.67
35,"3",4.60456966649568,0.67
35,"4",5.4443016951694,0.82
35,"5",4.33865798861579,0.75
35,"4&5",4.7026275543181,0.68
36,"4",5.39586666501469,0.79
36,"5",4.92947720051491,0.64
36,"4&5",5.07407165387636,0.61
37,"2",4.52809680994576,0.49
37,"3",4.09454326022182,0.71
37,"4",2.82242830456839,0.84
37,"5",4.74411047413766,0.84
37,"4&5",3.15388752023435,0.76
38,"3",5.21611071687582,0.74
38,"4",3.86964453621127,0.83
38,"5",4.18196790073202,0.85
38,"4&5",4.03051921668998,0.77
39,"4",4.41634430312888,0.82
39,"5",5.65652072166005,0.86
39,"4&5",5.33502648647029,0.76
40,"2",5.56034014254992,0.55
40,"3",5.2049340991265,0.73
40,"4",3.8157836993395,0.83
40,"5",4.36313210233795,0.84
40,"4&5",3.98880935686318,0.78
41,"3",4.46070929475634,0.74
41,"4",4.47446047569798,0.82
41,"5",3.81215698477901,0.84
41,"4&5",4.32532062890436,0.77
42,"4",4.90907560880732,0.78
42,"5",5.39295697608643,0.86
42,"4&5",5.09332040774064,0.75
43,"2",5.20217483568084,0.59
43,"3",5.26426287028895,0.71
43,"4",4.13620734983656,0.81
43,"5",3.86318606484064,0.88
43,"4&5",3.86318606484064,0.77
44,"3",4.96662880818844,0.73
44,"4",3.31997747639017,0.83
44,"5",3.76149112833558,0.88
44,"4&5",3.46213691053524,0.78
45,"4",4.00772491403799,0.8
45,"5",4.46760316272146,0.88
45,"4&5",4.24970964150512,0.77
46,"2",3.9565128066959,0.49
46,"3",4.86973177484042,0.71
46,"4",3.51312587296617,0.85
46,"5",3.74450453367258,0.84
46,"4&5",3.51312587296617,0.76
47,"3",5.25600671237148,0.72
47,"4",5.15283502182101,0.82
47,"5",3.67490827249116,0.84
47,"4&5",4.44318377725398,0.76
48,"4",4.34999720385559,0.83
48,"5",5.07662415008188,0.87
48,"4&5",4.72512449562208,0.78
49,"2",5.71215174860989,0.54
49,"3",5.13892508012179,0.73
49,"4",4.05263414768528,0.83
49,"5",4.28506186851018,0.82
49,"4&5",4.2031951831064,0.78
50,"3",4.57989469213409,0.74
50,"4",4.24075648351973,0.82
50,"5",3.605008064422,0.83
50,"4&5",3.87117661730548,0.76
51,"4",4.03442196344266,0.79
51,"5",5.01251586912399,0.86
51,"4&5",4.70717671958881,0.75
52,"2",5.54008089123486,0.55
52,"3",4.69763575380289,0.75
52,"4",4.25538694301717,0.82
52,"5",4.01634459368591,0.84
52,"4&5",4.25193514468394,0.77
53,"3",4.49851543330027,0.74
53,"4",4.38946800890795,0.81
53,"5",3.69587130331868,0.84
53,"4&5",4.11692487634116,0.76
54,"4",4.9130540515674,0.75
54,"5",5.69449023233036,0.82
54,"4&5",5.2393079869051,0.71
55,"2",4.97441132122108,0.5
55,"3",4.59017908083885,0.71
55,"4",3.85739953511974,0.83
55,"5",3.93664465558551,0.84
55,"4&5",3.87423517701481,0.77
56,"3",4.75564988821145,0.74
56,"4",4.35237751945317,0.83
56,"5",3.86519560981494,0.85
56,"4&5",4.25144000830784,0.77
57,"4",4.36423211877471,0.81
57,"5",5.61884797411175,0.87
57,"4&5",5.14512475218879,0.77
58,"2",5.16229288383619,0.53
58,"3",5.4533960821138,0.72
58,"4",3.8068224308468,0.82
58,"5",4.18842375963435,0.85
58,"4&5",4.11304032827405,0.77
59,"3",4.64968842725206,0.74
59,"4",4.73278081796117,0.82
59,"5",3.81654550031584,0.86
59,"4&5",4.61241929875358,0.77
60,"4",4.18929300873639,0.79
60,"5",5.56223466864457,0.86
60,"4&5",5.37162684747513,0.75
61,"2",5.41222918172288,0.53
61,"3",4.80316614530172,0.72
61,"4",4.16906781061909,0.82
61,"5",3.85459493036561,0.86
61,"4&5",4.16906781061909,0.77
62,"3",4.66868457654498,0.74
62,"4",4.61581983745564,0.82
62,"5",4.02431822872507,0.86
62,"4&5",4.41071632175109,0.77
63,"4",3.84488992289461,0.78
63,"5",5.34960303529663,0.87
63,"4&5",4.84276620139272,0.75
